# The published side of the boundary. Exported from CONSENT.APP.SAFE_CASES on the
# account this was built on. This is the pipeline's real output, not a mock: it is
# the only part of the data that was ever allowed to leave the warehouse.
# Source rows were synthetic. See data/synthetic_cases.csv.
case_id,intake_date,redacted_note,need_type,unresolved
CS-2036,2026-09-03,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF],housing,true
CS-2037,2026-09-03,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2038,2026-09-02,"[NAME] missed a hospital appointment, no bus fare. Phone [PHONE]. Resolved after travel voucher.",health,false
CS-2039,2026-09-01,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2040,2026-09-02,"[NAME] needs a solicitor for a benefits appeal, court date set. Contact [PHONE].",legal,true
CS-2041,2026-09-01,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2042,2026-09-05,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2043,2026-09-04,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2044,2026-09-04,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF].,legal,true
CS-2045,2026-09-02,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,true
CS-2046,2026-09-05,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF].,legal,true
CS-2047,2026-09-01,[NAME] ([EMAIL]) needs a food parcel this week; benefits delayed again. Ref [REF],food,true
CS-2048,2026-09-02,"[NAME] sofa-surfing since 5 Sep, no fixed address. Email [EMAIL]. Case ref [REF].",housing,true
CS-2049,2026-09-05,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF].,legal,true
CS-2050,2026-09-02,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2051,2026-09-05,"[NAME] cannot afford meds this month, ref [REF]. GP at [ADDRESS]. Mobile [PHONE].",health,true
CS-2052,2026-09-01,[NAME] ([EMAIL]) waiting on a mental health referral since 1 Sep,health,true
CS-2053,2026-09-01,"[NAME] ([EMAIL]) unsure of immigration paperwork deadlines, referred on 5 Sep.",legal,true
CS-2054,2026-09-03,[NAME] at [ADDRESS] received a court summons over council tax arrears. Ref [REF],housing,true
CS-2055,2026-09-03,Damp in the flat at [ADDRESS] making [NAME]'s asthma worse. Landlord not responding.,health,true
CS-2056,2026-09-01,Doorstep visit to [ADDRESS]. [NAME] skipping meals so the children eat. Contact [PHONE].,food,true
CS-2057,2026-09-03,[NAME] ([EMAIL]) needs a food parcel this week; benefits delayed again. Ref [REF].,food,true
CS-2058,2026-09-05,"[NAME] has rent overdue two months, landlord threatening eviction at [ADDRESS]. Call [PHONE].",housing,true
CS-2059,2026-09-04,[NAME] ([EMAIL]) waiting on a mental health referral since 4 Sep,health,true
